ID,loc,title,bedroom,bathroom,parking_space,zone,rooms,bathroom_ratio,price
2076,0.02478050381554115,2.0,2.0,2.0,4.0,4,4.0,0.5,1388266.208
319,,9.0,3.0,3.0,,-1,6.0,0.5,1061037.014
2432,0.027980635102978584,10.0,2.0,5.0,2.0,1,7.0,0.7142857142857143,2569140.861
7880,0.027898580454582753,8.0,2.0,,1.0,4,,,2719253.037
12023,0.02674981537704111,5.0,9.0,1.0,6.0,2,10.0,0.1,2795422.258
3184,0.027570361860999426,7.0,,2.0,1.0,5,,,1412675.344
5786,0.026585706080249447,9.0,9.0,4.0,,3,13.0,0.3076923076923077,2632221.824
4385,0.028637072290145237,8.0,3.0,2.0,4.0,4,5.0,0.4,2600365.438
1836,0.026503651431853615,2.0,3.0,1.0,1.0,4,4.0,0.25,1779073.992
3859,0.027078033970624436,8.0,1.0,1.0,2.0,0,2.0,0.5,1623143.197
11425,0.0288011815869369,8.0,4.0,1.0,5.0,1,5.0,0.2,1952882.529
330,0.025601050299499467,6.0,2.0,1.0,1.0,3,3.0,0.3333333333333333,950094.9044
4885,0.02978583736768688,3.0,3.0,2.0,3.0,3,5.0,0.4,1859993.419
1010,0.027078033970624436,5.0,1.0,2.0,1.0,0,3.0,0.6666666666666666,1192495.11
3176,0.028390908344957742,4.0,1.0,1.0,,2,2.0,0.5,677254.0868
99,,6.0,4.0,2.0,3.0,-1,6.0,0.3333333333333333,1351287.232
9460,0.0303602199064577,3.0,1.0,7.0,4.0,2,8.0,0.875,1359345.269
2840,0.028637072290145237,9.0,2.0,1.0,4.0,0,3.0,0.3333333333333333,1147010.647
3481,0.02674981537704111,10.0,3.0,2.0,3.0,2,5.0,0.4,3228337.616
1055,0.028637072290145237,,2.0,2.0,3.0,4,4.0,0.5,1504797.64
1388,0.0288011815869369,10.0,,2.0,3.0,1,,,1551029.676
288,0.028390908344957742,8.0,,2.0,1.0,2,,,1621190.876
3634,0.0303602199064577,8.0,2.0,2.0,,2,4.0,0.5,1653934.668
11288,0.026585706080249447,10.0,,5.0,2.0,3,,,4995081.498
1882,0.02830885369656191,1.0,4.0,1.0,1.0,5,5.0,0.2,1373231.517
584,0.027898580454582753,4.0,3.0,2.0,1.0,4,5.0,0.4,2172564.398
2090,0.025601050299499467,3.0,2.0,,3.0,3,,,1198619.111
2652,0.028555017641749406,9.0,1.0,1.0,1.0,3,2.0,0.5,973964.9938
10379,0.026585706080249447,,8.0,5.0,4.0,3,13.0,0.38461538461538464,3251009.995
5034,,9.0,1.0,1.0,5.0,-1,2.0,0.5,920768.1325
1080,0.028965290883728564,10.0,7.0,7.0,1.0,1,14.0,0.5,3779327.708
2896,0.027570361860999426,2.0,2.0,1.0,2.0,5,3.0,0.3333333333333333,1207904.078
11848,0.028637072290145237,,6.0,5.0,6.0,0,11.0,0.45454545454545453,3209871.806
2896,0.027980635102978584,5.0,5.0,7.0,2.0,1,12.0,0.5833333333333334,2295347.424
2067,0.027980635102978584,1.0,1.0,2.0,2.0,1,3.0,0.6666666666666666,683549.9902
1852,,10.0,,3.0,2.0,-1,,,2414312.789
11154,,6.0,3.0,5.0,1.0,-1,8.0,0.625,1467058.483
7692,,5.0,6.0,1.0,6.0,-1,7.0,0.14285714285714285,2377499.069
1467,0.028637072290145237,,,5.0,1.0,4,,,4963976.21
6419,0.02830885369656191,8.0,,3.0,1.0,5,,,3429084.796
4367,0.027570361860999426,7.0,4.0,5.0,4.0,5,9.0,0.5555555555555556,1734292.253
633,,1.0,,1.0,1.0,-1,,,950308.6387
4361,0.026503651431853615,,4.0,2.0,,4,6.0,0.3333333333333333,3360517.919
336,0.028390908344957742,4.0,1.0,,1.0,2,,,683495.8399
9196,0.028637072290145237,,1.0,6.0,5.0,0,7.0,0.8571428571428571,1362172.028
6473,0.02732419791581193,7.0,7.0,6.0,,0,13.0,0.46153846153846156,2167618.863
6550,0.027980635102978584,2.0,2.0,4.0,5.0,5,6.0,0.6666666666666666,1464315.814
672,0.026995979322228605,1.0,2.0,1.0,4.0,4,3.0,0.3333333333333333,1421938.524
405,0.02773447115779109,5.0,4.0,1.0,1.0,5,5.0,0.2,1869338.537
122,0.026995979322228605,10.0,4.0,1.0,1.0,4,5.0,0.2,4079855.085
6584,0.028965290883728564,10.0,3.0,6.0,4.0,1,9.0,0.6666666666666666,2696139.367
9919,,,5.0,6.0,6.0,-1,11.0,0.5454545454545454,2716506.044
2174,0.02978583736768688,1.0,3.0,1.0,4.0,3,4.0,0.25,1136697.429
3122,0.025847214244686962,10.0,9.0,,2.0,1,,,4620293.291
156,0.026503651431853615,8.0,4.0,7.0,,4,11.0,0.6363636363636364,3774103.862
11175,0.027980635102978584,,4.0,6.0,3.0,1,10.0,0.6,1590208.673
829,0.028390908344957742,2.0,2.0,1.0,5.0,3,3.0,0.3333333333333333,989162.9299
5507,0.02674981537704111,6.0,9.0,7.0,1.0,2,16.0,0.4375,2528168.391
1676,0.02773447115779109,8.0,5.0,2.0,,0,7.0,0.2857142857142857,2511316.969
909,0.02674981537704111,4.0,1.0,1.0,,2,2.0,0.5,895664.289
7625,0.02830885369656191,,3.0,2.0,4.0,5,5.0,0.4,1876064.246
981,,2.0,2.0,7.0,,-1,9.0,0.7777777777777778,1415638.945
331,0.026585706080249447,8.0,5.0,1.0,2.0,3,6.0,0.16666666666666666,2848382.921
8710,0.02633954213506195,5.0,,5.0,1.0,0,,,3099402.021
5809,0.026913924673832773,10.0,3.0,,1.0,5,,,5090085.957
9615,0.026913924673832773,5.0,7.0,7.0,,5,14.0,0.5,5048738.759
2206,0.026585706080249447,8.0,4.0,4.0,5.0,3,8.0,0.5,2833717.174
12,0.026503651431853615,4.0,6.0,6.0,6.0,4,12.0,0.5,3267137.551
4726,,5.0,4.0,6.0,2.0,-1,10.0,0.6,2029282.847
1675,0.02822679904816608,7.0,3.0,1.0,2.0,5,4.0,0.25,1400810.485
1731,0.029129400180520227,3.0,4.0,,,0,,,1771411.869
968,0.028390908344957742,6.0,1.0,1.0,2.0,2,2.0,0.5,639460.5019
12823,0.0288011815869369,9.0,5.0,1.0,,2,6.0,0.16666666666666666,1645684.223
5220,,,9.0,2.0,,-1,11.0,0.18181818181818182,2563698.71
6906,0.026503651431853615,2.0,5.0,,2.0,4,,,2581172.016
7439,,8.0,,6.0,3.0,-1,,,4311253.217
3329,0.028637072290145237,5.0,2.0,1.0,4.0,0,3.0,0.3333333333333333,1673732.156
5572,0.028637072290145237,,4.0,7.0,3.0,4,11.0,0.6363636363636364,2320730.488
2483,0.02732419791581193,8.0,,2.0,2.0,0,,,1780923.133
1511,0.028965290883728564,8.0,1.0,2.0,2.0,1,3.0,0.6666666666666666,1473923.868
9990,,4.0,7.0,1.0,4.0,-1,8.0,0.125,2010268.347
304,0.027980635102978584,4.0,2.0,,1.0,1,,,1143404.709
12087,0.028555017641749406,10.0,5.0,4.0,,2,9.0,0.4444444444444444,3133638.278
8224,,9.0,5.0,2.0,3.0,-1,7.0,0.2857142857142857,1503064.282
1641,0.0303602199064577,,7.0,3.0,6.0,2,10.0,0.3,2136106.165
2926,0.02822679904816608,4.0,4.0,1.0,,5,5.0,0.2,1717237.272
507,0.028390908344957742,,1.0,1.0,4.0,3,2.0,0.5,774586.4308
9398,0.02773447115779109,10.0,3.0,5.0,5.0,5,8.0,0.625,3368002.741
1127,0.028390908344957742,4.0,2.0,,3.0,3,,,1042051.307
2039,0.028062689751374416,4.0,4.0,3.0,4.0,1,7.0,0.42857142857142855,1498710.16
2409,0.0303602199064577,9.0,3.0,7.0,,2,10.0,0.7,1341706.76
5069,0.02773447115779109,5.0,,3.0,6.0,5,,,1536238.917
9457,0.027898580454582753,7.0,5.0,,,4,,,2507963.774
733,0.027652416509395258,2.0,,1.0,3.0,2,,,976926.0194
11739,0.028555017641749406,9.0,3.0,4.0,3.0,2,7.0,0.5714285714285714,1085020.104
266,0.028965290883728564,7.0,4.0,3.0,5.0,1,7.0,0.42857142857142855,1388516.177
4241,0.02978583736768688,3.0,6.0,5.0,,3,11.0,0.45454545454545453,2692795.939
1914,0.02830885369656191,10.0,3.0,1.0,1.0,5,4.0,0.25,2323711.23
1729,0.028555017641749406,2.0,4.0,1.0,3.0,3,5.0,0.2,1499188.318
290,0.026585706080249447,10.0,5.0,,2.0,3,,,5595259.926
12334,0.026995979322228605,3.0,8.0,4.0,3.0,4,12.0,0.3333333333333333,3651205.443
1129,0.02822679904816608,1.0,1.0,1.0,2.0,5,2.0,0.5,1184954.663
971,0.028555017641749406,8.0,3.0,,1.0,3,,,2144249.739
12344,0.028390908344957742,,5.0,6.0,6.0,3,11.0,0.5454545454545454,1667355.392
11950,0.02674981537704111,4.0,2.0,5.0,4.0,2,7.0,0.7142857142857143,1196333.939
803,0.028390908344957742,3.0,1.0,1.0,,2,2.0,0.5,759997.7194
1164,0.029129400180520227,6.0,2.0,1.0,2.0,0,3.0,0.3333333333333333,1146906.981
11584,0.028390908344957742,4.0,9.0,,5.0,2,,,2486807.974
8605,0.0303602199064577,10.0,9.0,5.0,3.0,2,14.0,0.35714285714285715,4818535.312
1017,0.027980635102978584,7.0,6.0,5.0,6.0,5,11.0,0.45454545454545453,2367693.054
2746,0.028062689751374416,,4.0,1.0,,1,5.0,0.2,1506688.036
3042,0.028555017641749406,2.0,5.0,5.0,2.0,2,10.0,0.5,1567073.977
11842,0.025847214244686962,9.0,,3.0,1.0,1,,,1675506.242
1174,0.0288011815869369,9.0,9.0,1.0,2.0,1,10.0,0.1,2032079.532
9716,0.02633954213506195,6.0,6.0,5.0,1.0,0,11.0,0.45454545454545453,2068484.365
9724,0.02773447115779109,5.0,9.0,4.0,,5,13.0,0.3076923076923077,3458251.924
6460,0.029129400180520227,7.0,2.0,1.0,1.0,0,3.0,0.3333333333333333,1025108.68
26,,1.0,2.0,1.0,4.0,-1,3.0,0.3333333333333333,1016152.795
571,,9.0,5.0,1.0,1.0,-1,6.0,0.16666666666666666,1199788.359
1566,,3.0,4.0,2.0,2.0,-1,6.0,0.3333333333333333,1497633.602
7943,0.02773447115779109,3.0,,3.0,6.0,0,,,2289380.923
7644,0.0288011815869369,2.0,,5.0,3.0,2,,,1710869.056
2385,0.027570361860999426,5.0,5.0,1.0,,5,6.0,0.16666666666666666,2134441.245
1255,0.02773447115779109,,,2.0,3.0,0,,,760845.3505
824,0.026995979322228605,6.0,9.0,3.0,6.0,4,12.0,0.25,3675678.168
3280,0.026585706080249447,6.0,1.0,1.0,5.0,3,2.0,0.5,1285532.602
1990,0.026585706080249447,6.0,,4.0,4.0,3,,,2263844.63
9735,0.029129400180520227,,4.0,7.0,4.0,0,11.0,0.6363636363636364,1967192.197
7271,,7.0,8.0,6.0,,-1,14.0,0.42857142857142855,2740146.304
9155,0.027980635102978584,10.0,6.0,3.0,,1,9.0,0.3333333333333333,3709387.417
4636,0.027980635102978584,5.0,,5.0,6.0,5,,,1806872.307
2616,0.027980635102978584,3.0,3.0,2.0,2.0,5,5.0,0.4,1716556.684
12903,0.028144744399770247,,9.0,5.0,2.0,1,14.0,0.35714285714285715,2717766.381
5101,,2.0,7.0,7.0,1.0,-1,14.0,0.5,2157302.476
5703,0.026995979322228605,6.0,9.0,6.0,2.0,4,15.0,0.4,3693721.051
1640,0.026913924673832773,,4.0,1.0,,5,5.0,0.2,5601496.382
8190,0.027980635102978584,10.0,9.0,1.0,6.0,5,10.0,0.1,5618725.557
4894,0.02822679904816608,8.0,6.0,,2.0,5,,,3336604.913
8924,,7.0,4.0,6.0,5.0,-1,10.0,0.6,2276273.9
832,0.028555017641749406,10.0,4.0,1.0,3.0,2,5.0,0.2,1509444.638
1112,0.026995979322228605,,6.0,6.0,4.0,4,12.0,0.5,3258813.344
3583,0.02830885369656191,6.0,2.0,2.0,1.0,2,4.0,0.5,1149999.565
3564,0.0303602199064577,7.0,3.0,,1.0,2,,,1206128.86
5,0.02773447115779109,,2.0,1.0,4.0,5,3.0,0.3333333333333333,1132759.372
2625,0.02830885369656191,8.0,1.0,1.0,1.0,2,2.0,0.5,1443696.261
2060,0.025847214244686962,7.0,9.0,3.0,5.0,1,12.0,0.25,2512446.539
956,,6.0,2.0,2.0,4.0,-1,4.0,0.5,1167762.409
6507,,6.0,3.0,5.0,6.0,-1,8.0,0.625,1584174.468
2629,0.028555017641749406,5.0,1.0,,6.0,3,,,1536238.917
3825,0.0303602199064577,1.0,1.0,1.0,3.0,2,2.0,0.5,973595.6466
10774,0.028637072290145237,10.0,1.0,3.0,3.0,0,4.0,0.75,2435958.006
2298,,3.0,3.0,4.0,2.0,-1,7.0,0.5714285714285714,1589558.405
1513,0.02830885369656191,10.0,4.0,1.0,1.0,5,5.0,0.2,2417309.393
573,0.028637072290145237,8.0,5.0,1.0,,0,6.0,0.16666666666666666,2545813.298
9059,0.028965290883728564,5.0,7.0,6.0,,1,13.0,0.46153846153846156,2500363.144
12392,,4.0,2.0,6.0,2.0,-1,8.0,0.75,1480925.437
3318,0.027570361860999426,5.0,1.0,2.0,5.0,5,3.0,0.6666666666666666,1455576.39
1188,0.025601050299499467,6.0,2.0,2.0,,3,4.0,0.5,1097929.787
2289,0.026585706080249447,6.0,8.0,7.0,6.0,3,15.0,0.4666666666666667,3148685.032
1038,0.0288011815869369,1.0,5.0,,3.0,1,,,1465781.535
6614,0.027980635102978584,,7.0,6.0,1.0,1,13.0,0.46153846153846156,2310122.914
8072,0.027980635102978584,8.0,1.0,4.0,6.0,5,5.0,0.8,2059102.113
2899,0.02633954213506195,3.0,3.0,2.0,2.0,0,5.0,0.4,1306664.528
7193,0.02830885369656191,10.0,7.0,2.0,,5,9.0,0.2222222222222222,5258407.126
1497,0.027570361860999426,8.0,2.0,,3.0,5,,,1974713.963
1481,0.025601050299499467,10.0,3.0,1.0,4.0,3,4.0,0.25,3232039.555
6789,0.028390908344957742,,1.0,7.0,1.0,3,8.0,0.875,1023799.352
1093,0.027980635102978584,6.0,4.0,2.0,3.0,5,6.0,0.3333333333333333,1811515.987
11695,0.027078033970624436,9.0,1.0,2.0,4.0,0,3.0,0.6666666666666666,835390.7699
1195,,6.0,2.0,1.0,2.0,-1,3.0,0.3333333333333333,1178496.261
6052,0.028390908344957742,3.0,,6.0,6.0,2,,,2583864.346
1893,0.028965290883728564,3.0,4.0,1.0,2.0,1,5.0,0.2,1371930.953
952,,8.0,2.0,1.0,4.0,-1,3.0,0.3333333333333333,1781826.544
2834,0.0303602199064577,10.0,,5.0,1.0,2,,,3444015.313
8006,0.027980635102978584,2.0,2.0,2.0,4.0,1,4.0,0.5,1118895.392
1970,0.026503651431853615,8.0,,2.0,3.0,4,,,4321974.697
8392,0.02773447115779109,7.0,9.0,4.0,,5,13.0,0.3076923076923077,2776218.71
750,0.028555017641749406,2.0,2.0,1.0,,3,3.0,0.3333333333333333,1184339.873
305,0.028390908344957742,7.0,1.0,1.0,,2,2.0,0.5,753327.3973
3928,0.028390908344957742,9.0,3.0,,2.0,2,,,760313.4899
1953,,,9.0,1.0,3.0,-1,10.0,0.1,2984372.036
10546,0.0303602199064577,,3.0,6.0,1.0,2,9.0,0.6666666666666666,1362753.122
5733,0.026667760728645278,10.0,3.0,6.0,1.0,4,9.0,0.6666666666666666,4223442.423
2524,0.025847214244686962,4.0,1.0,,4.0,1,,,1065123.44
406,0.028965290883728564,,2.0,5.0,3.0,1,7.0,0.7142857142857143,1175838.642
11946,0.026585706080249447,,9.0,3.0,4.0,3,12.0,0.25,2643505.373
2422,0.026585706080249447,2.0,1.0,2.0,2.0,3,3.0,0.6666666666666666,1140146.74
2680,0.027980635102978584,9.0,5.0,2.0,4.0,5,7.0,0.2857142857142857,1676803.509
1702,0.027898580454582753,3.0,,2.0,4.0,4,,,2735325.994
1829,0.027980635102978584,3.0,1.0,1.0,6.0,5,2.0,0.5,1453162.772
3910,0.02822679904816608,8.0,5.0,6.0,4.0,5,11.0,0.5454545454545454,3200212.213
437,0.028637072290145237,2.0,7.0,1.0,2.0,0,8.0,0.125,2157343.816
8545,,10.0,6.0,4.0,4.0,-1,10.0,0.4,5065657.997
12069,0.0303602199064577,5.0,5.0,7.0,1.0,2,12.0,0.5833333333333334,2266719.072
11206,,10.0,4.0,4.0,3.0,-1,8.0,0.5,3156324.886
11284,0.02978583736768688,10.0,9.0,6.0,2.0,3,15.0,0.4,5836458.977
3352,,7.0,7.0,2.0,5.0,-1,9.0,0.2222222222222222,1905067.519
3813,0.02732419791581193,4.0,6.0,2.0,,0,8.0,0.25,1962762.988
624,0.027898580454582753,4.0,2.0,2.0,3.0,4,4.0,0.5,1937353.197
1411,0.0303602199064577,4.0,5.0,1.0,3.0,2,6.0,0.16666666666666666,1587592.0
4527,0.027570361860999426,7.0,9.0,7.0,,5,16.0,0.4375,2881940.087
5956,0.028637072290145237,4.0,,3.0,1.0,0,,,2619595.875
9525,0.027898580454582753,9.0,6.0,7.0,4.0,4,13.0,0.5384615384615384,2809570.849
12197,0.0288011815869369,8.0,3.0,6.0,1.0,2,9.0,0.6666666666666666,2287244.177
1682,,9.0,2.0,1.0,3.0,-1,3.0,0.3333333333333333,1551018.283
485,0.027980635102978584,7.0,2.0,1.0,,1,3.0,0.3333333333333333,1000985.409
557,0.026667760728645278,6.0,3.0,1.0,3.0,4,4.0,0.25,1793117.724
5144,0.02732419791581193,10.0,6.0,,5.0,0,,,4105871.459
2776,0.02830885369656191,4.0,5.0,1.0,,5,6.0,0.16666666666666666,2187402.476
1810,0.028144744399770247,2.0,,2.0,5.0,1,,,1696093.805
412,0.028062689751374416,7.0,2.0,2.0,4.0,1,4.0,0.5,1028284.81
10502,0.02478050381554115,,6.0,1.0,4.0,4,7.0,0.14285714285714285,2562080.047
7450,0.025847214244686962,8.0,4.0,1.0,2.0,1,5.0,0.2,2081364.95
2530,0.0288011815869369,7.0,3.0,,3.0,1,,,1122597.158
974,0.027980635102978584,10.0,2.0,2.0,,1,4.0,0.5,1461063.896
12973,,4.0,7.0,5.0,3.0,-1,12.0,0.4166666666666667,3364799.814
9032,0.027980635102978584,5.0,8.0,,3.0,5,,,3302689.889
1707,0.02822679904816608,7.0,2.0,4.0,,5,6.0,0.6666666666666666,1490341.588
503,0.028965290883728564,10.0,3.0,,1.0,1,,,2501238.857
3699,0.02478050381554115,5.0,5.0,1.0,1.0,4,6.0,0.16666666666666666,2354394.038
3257,0.026995979322228605,9.0,1.0,1.0,,4,2.0,0.5,1095165.578
1886,0.0288011815869369,6.0,5.0,2.0,2.0,2,7.0,0.2857142857142857,1857294.407
2240,0.026913924673832773,9.0,7.0,5.0,2.0,5,12.0,0.4166666666666667,3372445.184
2622,0.02732419791581193,7.0,1.0,1.0,1.0,0,2.0,0.5,924881.6422
376,0.025601050299499467,2.0,4.0,,1.0,3,,,1170856.206
925,0.02978583736768688,8.0,5.0,1.0,3.0,3,6.0,0.16666666666666666,2973250.142
7324,0.0303602199064577,7.0,3.0,3.0,,2,6.0,0.5,1331240.424
142,0.028062689751374416,5.0,5.0,2.0,2.0,1,7.0,0.2857142857142857,1679174.368
9850,0.028390908344957742,3.0,4.0,4.0,6.0,3,8.0,0.5,1706928.848
2408,0.02478050381554115,8.0,7.0,1.0,3.0,4,8.0,0.125,3411617.0
2826,0.027980635102978584,1.0,,2.0,1.0,1,,,1453497.184
2000,0.02773447115779109,2.0,9.0,6.0,2.0,0,15.0,0.4,2543959.237
418,,7.0,1.0,1.0,4.0,-1,2.0,0.5,1545750.664
155,0.028555017641749406,3.0,4.0,2.0,2.0,2,6.0,0.3333333333333333,1397260.602
12756,0.028637072290145237,9.0,5.0,5.0,6.0,0,10.0,0.5,1789521.127
1996,0.027980635102978584,1.0,2.0,,1.0,1,,,1117864.525
12546,0.028390908344957742,9.0,3.0,3.0,4.0,2,6.0,0.5,1076977.801
4986,0.027652416509395258,5.0,8.0,7.0,3.0,2,15.0,0.4666666666666667,2728672.174
3841,0.027078033970624436,,7.0,3.0,1.0,0,10.0,0.3,1859604.596
8695,0.026585706080249447,8.0,4.0,7.0,3.0,3,11.0,0.6363636363636364,2940019.226
5971,0.02830885369656191,3.0,1.0,6.0,4.0,5,7.0,0.8571428571428571,1789141.017
2798,0.025601050299499467,7.0,4.0,,6.0,3,,,1516371.203
8564,0.02830885369656191,7.0,3.0,3.0,6.0,5,6.0,0.5,1795317.325
3346,0.029129400180520227,5.0,4.0,1.0,,0,5.0,0.2,1858087.234
1023,0.027980635102978584,9.0,,1.0,2.0,5,,,1194320.899
9899,0.0303602199064577,,2.0,2.0,4.0,2,4.0,0.5,1480519.166
12736,0.026503651431853615,10.0,9.0,,3.0,4,,,7527172.076
10812,0.02732419791581193,4.0,7.0,1.0,,0,8.0,0.125,2204190.21
401,0.02674981537704111,5.0,5.0,,1.0,2,,,1697167.88
5209,0.029129400180520227,7.0,1.0,1.0,,0,2.0,0.5,871816.0686
1470,0.025601050299499467,6.0,3.0,,3.0,3,,,1324629.687
2524,0.027980635102978584,10.0,1.0,2.0,5.0,1,3.0,0.6666666666666666,2197536.428
7867,0.02773447115779109,7.0,2.0,,5.0,5,,,1298100.306
7866,0.02822679904816608,9.0,9.0,,6.0,5,,,2723312.035
8129,0.0303602199064577,,1.0,5.0,2.0,2,6.0,0.8333333333333334,997115.4784
2322,0.027980635102978584,9.0,5.0,,2.0,5,,,1745221.225
11432,0.028637072290145237,7.0,3.0,1.0,6.0,4,4.0,0.25,1709173.981
7988,0.028965290883728564,9.0,5.0,6.0,3.0,1,11.0,0.5454545454545454,1466531.895
6895,0.028390908344957742,6.0,1.0,5.0,5.0,3,6.0,0.8333333333333334,1044109.739
7821,0.028637072290145237,7.0,9.0,1.0,5.0,4,10.0,0.1,3041628.74
1447,0.02732419791581193,3.0,4.0,2.0,2.0,0,6.0,0.3333333333333333,1616761.807
1551,0.02830885369656191,,2.0,2.0,1.0,2,4.0,0.5,1352461.065
5182,,7.0,2.0,1.0,6.0,-1,3.0,0.3333333333333333,1007380.972
10939,0.026913924673832773,7.0,8.0,6.0,3.0,5,14.0,0.42857142857142855,4169674.265
4625,0.028965290883728564,4.0,7.0,2.0,,1,9.0,0.2222222222222222,2020608.451
2667,0.026995979322228605,5.0,2.0,6.0,6.0,4,8.0,0.75,2487811.175
1668,0.02830885369656191,8.0,4.0,1.0,4.0,5,5.0,0.2,3269685.408
2549,0.026913924673832773,1.0,1.0,1.0,1.0,5,2.0,0.5,3400272.153
994,0.026667760728645278,9.0,3.0,4.0,6.0,4,7.0,0.5714285714285714,1766025.25
2811,0.026995979322228605,10.0,3.0,2.0,3.0,4,5.0,0.4,2816405.87
12673,0.02830885369656191,9.0,8.0,7.0,5.0,5,15.0,0.4666666666666667,2778771.79
8273,0.026995979322228605,6.0,5.0,,5.0,4,,,2768800.47
5961,0.027980635102978584,,7.0,4.0,2.0,1,11.0,0.36363636363636365,2620898.501
3898,,6.0,7.0,2.0,2.0,-1,9.0,0.2222222222222222,2192584.275
12723,,3.0,5.0,1.0,2.0,-1,6.0,0.16666666666666666,2254222.54
9307,0.028555017641749406,2.0,,2.0,4.0,3,,,2239430.669
10292,,4.0,4.0,5.0,3.0,-1,9.0,0.5555555555555556,1710869.056
3620,0.02830885369656191,2.0,7.0,2.0,2.0,2,9.0,0.2222222222222222,2021498.834
3544,0.02478050381554115,2.0,1.0,1.0,4.0,4,2.0,0.5,1136328.034
10941,0.0288011815869369,6.0,7.0,7.0,,2,14.0,0.5,2583282.978
5376,0.02732419791581193,8.0,1.0,,1.0,0,,,1644753.018
9715,0.02773447115779109,5.0,9.0,6.0,1.0,0,15.0,0.4,3142473.693
8337,0.027980635102978584,5.0,8.0,7.0,,1,15.0,0.4666666666666667,3095629.119
3054,0.028144744399770247,10.0,3.0,2.0,1.0,1,5.0,0.4,3828674.988
8152,0.02822679904816608,10.0,8.0,,5.0,5,,,5646673.803
526,0.025847214244686962,6.0,2.0,7.0,3.0,1,9.0,0.7777777777777778,1392215.748
2060,0.0303602199064577,4.0,2.0,1.0,1.0,2,3.0,0.3333333333333333,1198104.113
